indice,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,franja
111,47435,50383,59776,56091,60351,64597,75592,81158,88087,73536,73211,68046,64829,66125,69135,71079,74031,82513,84996,76333,88101,97934,108363,22100
112,49683,51374,63652,56928,60060,65011,71431,78278,78734,88764,71608,65369,63652,64359,69247,71820,74494,80741,86664,76078,89096,99926,109222,22300
113,47940,49568,54825,56658,59662,64317,70103,78673,75995,73808,73278,66360,64096,64096,66785,69176,73019,77879,85923,76257,85702,98223,104653,22500
114,45567,48950,54383,55988,57636,61966,67883,75655,68861,68548,75357,63685,62020,61714,62440,64991,68625,73379,79228,71077,80034,91196,99919,22700
115,46034,47733,51871,57772,58538,62106,68019,75337,69859,70185,78785,64179,64582,64082,62641,64916,68278,74479,78924,70720,81525,92455,99032,22900
116,44846,48357,51312,62966,57772,61732,68169,73164,68617,67934,72402,63466,63795,63040,61587,64830,67533,73304,78106,70128,81213,92072,98460,23100
117,48459,45926,49408,59167,55684,57665,63180,71068,67147,68740,66160,72848,58117,58759,59911,61054,65542,70286,74441,66843,76445,88189,95268,23300
118,44496,46863,50755,53234,55816,58163,63570,70629,67769,66661,64739,68078,58095,57995,60388,61105,65633,69189,74470,66481,76306,86555,93171,23500
119,45174,44390,47491,52954,54711,57000,61614,67459,67545,64923,63195,61054,56686,56103,59051,59248,63948,66628,71966,65372,74727,83358,90543,23700
120,45801,43695,46467,50004,62222,56955,60813,66794,66596,63924,62080,57899,54395,54323,58559,60323,62895,67675,72314,65472,73664,86228,91405,23900
121,48962,45098,48866,53919,60735,60824,65224,71651,71571,68657,67883,63660,81957,78099,76174,80788,68435,74934,78304,70987,79109,88622,99242,24100
122,42745,45423,45827,50455,55494,55239,58003,62454,62761,60257,59511,57540,56079,59447,63320,66645,59775,64599,69386,62712,70559,77629,87597,24300
123,42187,48462,44417,50723,54698,56338,57249,62329,60515,58864,60556,59227,54721,54163,59792,60606,64650,63952,68433,62681,69366,77031,85767,24500
124,40598,49554,43346,47068,52644,54870,57091,60394,58421,57097,58667,58349,53607,53152,55042,57324,67873,61913,67187,60838,67365,75273,84133,24700
125,39976,44027,43252,47035,51329,59333,56409,60065,59349,58069,58185,58509,53158,53495,53949,56436,64194,72178,66931,61271,67994,76757,86334,24900
